model,query_image,k,precision,recall,ndcg,rank_of_true_label,min_distance,max_distance,mean_distance,search_time_mean,search_time_std,birads_category
DenseNet121,30,5,1.0,0.006242197253433208,1.0,1,0.0,135.35452,97.03059,0.0009044500067830086,0.000616974750390426,1
DenseNet121,30,10,0.9,0.011235955056179775,1.0,1,0.0,158.3598,125.23926,0.0007772500044666231,0.0007719049710845263,1
DenseNet121,30,20,0.95,0.02372034956304619,0.9909880817244305,1,0.0,173.5221,146.47339,0.000964799989014864,0.0004323436735474011,1
DenseNet121,30,50,0.82,0.05118601747815231,0.9797438878704096,1,0.0,199.31421,173.46605,0.000588759989477694,0.00021224229043115717,1
DenseNet121,30,100,0.79,0.0986267166042447,0.9697066967521419,1,0.0,240.32143,195.99059,0.0005181599990464747,0.0004883801609165711,1
DenseNet121,50,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.00044957000063732265,0.00020409238488405514,1
DenseNet121,50,5,0.6,0.003745318352059925,1.0,1,0.0,184.20099,142.79506,0.0006824100040830672,0.00037757906804739385,1
DenseNet121,50,10,0.7,0.008739076154806492,0.9447403758138471,1,0.0,197.64667,166.67258,0.0003168799914419651,9.744971243634343e-05,1
DenseNet121,50,20,0.7,0.017478152309612985,0.9254911936739129,1,0.0,213.44894,186.94043,0.0007063599885441362,0.0003788696642610293,1
DenseNet121,50,50,0.68,0.04244694132334582,0.9135838125889546,1,0.0,237.92024,211.56206,0.0005354500142857432,0.00024486938765632077,1
DenseNet121,50,100,0.75,0.09363295880149813,0.9201664815209624,1,0.0,262.07672,230.76547,0.000488319993019104,9.798540007095856e-05,1
DenseNet121,100,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0006803399883210659,0.0005935037467567747,1
DenseNet121,100,5,0.8,0.004993757802746567,0.9828920819566879,1,0.0,189.5859,140.38469,0.0006319499923847615,0.00022684697194004828,1
DenseNet121,100,10,0.9,0.011235955056179775,0.9667147927059906,1,0.0,195.14319,166.58864,0.0005352700245566666,0.00018137850441057857,1
DenseNet121,100,20,0.9,0.02247191011235955,0.9685412412747305,1,0.0,219.97229,186.7928,0.0007859200006350875,0.00026190828102638336,1
DenseNet121,100,50,0.88,0.05493133583021224,0.9610647222538454,1,0.0,254.85529,218.72328,0.000899169989861548,0.000598921509595484,1
DenseNet121,100,100,0.89,0.1111111111111111,0.965755414162098,1,0.0,287.11273,246.09967,0.0010714600095525384,0.0007081228911365055,1
DenseNet121,150,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.001107960008084774,0.0004145102043903324,1
DenseNet121,150,5,1.0,0.006242197253433208,1.0,1,0.0,174.65388,128.36362,0.0006136700045317412,0.0003601281758304112,1
DenseNet121,150,10,0.9,0.011235955056179775,1.0,1,0.0,179.37589,153.14047,0.000711320003028959,0.00030908541915539606,1
DenseNet121,150,20,0.85,0.02122347066167291,0.9773411860168592,1,0.0,194.17068,170.49893,0.0007674099993892014,0.00040934572375299805,1
DenseNet121,150,50,0.76,0.04744069912609238,0.9586969343471745,1,0.0,222.65631,195.14906,0.0005766100017353893,0.0003796570270552044,1
DenseNet121,150,100,0.84,0.10486891385767791,0.9544395350272094,1,0.0,246.39995,215.71924,0.0009946799837052822,0.0005119462217875318,1
DenseNet121,200,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0011010700138285757,0.00042044943228706545,1
DenseNet121,200,5,1.0,0.006242197253433208,1.0,1,0.0,210.51155,161.73111,0.000780230003874749,0.0005428902837895852,1
DenseNet121,200,10,0.8,0.009987515605493134,0.9793656319464776,1,0.0,226.7175,191.11986,0.0011193100013770162,0.0005224193229584139,1
DenseNet121,200,20,0.8,0.019975031210986267,0.9614378108742538,1,0.0,240.39174,213.15678,0.0005603500059805811,0.00014355533181736196,1
DenseNet121,200,50,0.8,0.049937578027465665,0.9545808208685169,1,0.0,270.3844,240.0535,0.0008001999813131988,0.0003997061604607589,1
DenseNet121,200,100,0.81,0.10112359550561797,0.954637383204076,1,0.0,284.79926,259.00247,0.0008903300040401518,0.00032518635766756553,1
DenseNet121,300,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0007379499962553382,0.00021255337162055386,1
DenseNet121,300,5,0.6,0.003745318352059925,0.8529278650606567,1,0.0,226.93628,173.72124,0.0011936099966987968,0.0005250584494723687,1
DenseNet121,300,10,0.6,0.00749063670411985,0.8407100742625342,1,0.0,241.27748,205.81079,0.000855040003079921,0.0003180979561747547,1
DenseNet121,300,20,0.65,0.016229712858926344,0.8463279755144735,1,0.0,264.28995,232.30884,0.0005655499873682857,0.0002835505558854242,1
DenseNet121,300,50,0.64,0.039950062421972535,0.8616197841633795,1,0.0,298.85162,262.76553,0.0008181999903172255,0.0003372009084252054,1
DenseNet121,300,100,0.68,0.08489388264669163,0.8822191335608168,1,0.0,322.75052,287.19873,0.0007643099874258041,0.00029085781409645095,1
DenseNet121,400,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.000493809999898076,0.0002624541004465053,1
DenseNet121,400,5,1.0,0.006242197253433208,1.0,1,0.0,167.76859,124.36166,0.001105210033711046,0.0005062356918265634,1
DenseNet121,400,10,0.9,0.011235955056179775,0.9971876401972101,1,0.0,185.62708,151.87836,0.0006819400005042553,0.0003544438884117134,1
DenseNet121,400,20,0.85,0.02122347066167291,0.9831099307471486,1,0.0,195.88788,171.62576,0.0007473399862647056,0.00015740076275763362,1
DenseNet121,400,50,0.78,0.04868913857677903,0.9680297124675176,1,0.0,229.65375,196.11856,0.0013742500101216137,0.00045673928070164596,1
DenseNet121,400,100,0.72,0.0898876404494382,0.9560612362166248,1,0.0,265.48257,223.59615,0.0013717099791392684,0.0005833260922045215,1
DenseNet121,500,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0011289100395515562,0.0007425206305122053,1
DenseNet121,500,5,1.0,0.006242197253433208,1.0,1,0.0,168.38072,131.4235,0.0008675799937918783,0.00025002551607199646,1
DenseNet121,500,10,1.0,0.012484394506866416,1.0,1,0.0,183.01624,155.27347,0.0014540100120939315,0.0005055240200054604,1
DenseNet121,500,20,0.95,0.02372034956304619,1.0,1,0.0,214.08984,175.75607,0.0014212499954737723,0.0007011004548507369,1
DenseNet121,500,50,0.94,0.05867665418227216,0.9948418554878369,1,0.0,241.36102,206.75934,0.0007460800115950406,0.0002962448322747477,1
DenseNet121,500,100,0.87,0.10861423220973783,0.9895517729251431,1,0.0,278.4065,234.99532,0.0008723499951884151,0.0004908014808591084,1
DenseNet121,600,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0008041599998250603,0.0002294485701090142,1
DenseNet121,600,5,1.0,0.006242197253433208,1.0,1,0.0,220.19012,165.79422,0.0009925000136718153,0.0002750274820511705,1
DenseNet121,600,10,1.0,0.012484394506866416,1.0,1,0.0,250.56133,204.11032,0.0007854999974370002,0.00037748234406501536,1
DenseNet121,600,20,0.95,0.02372034956304619,0.9967222855559115,1,0.0,268.84357,233.54964,0.0006198100047186017,0.00010094592328577427,1
DenseNet121,600,50,0.84,0.052434456928838954,0.9877752880859973,1,0.0,293.83673,263.537,0.0006523899850435555,0.00039392599836007917,1
DenseNet121,600,100,0.8,0.09987515605493133,0.9733187510242575,1,0.0,317.32547,285.0712,0.0007946199970319867,0.000480308055890205,1
DenseNet121,700,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.00041249998612329363,0.000156622510605935,1
DenseNet121,700,5,0.8,0.004993757802746567,0.9558295932317544,1,0.0,170.96884,128.91508,0.0005261399899609386,0.00025643392956214083,1
DenseNet121,700,10,0.8,0.009987515605493134,0.9429942892150166,1,0.0,199.79291,159.59294,0.0007629700005054474,0.0006665911004350133,1
DenseNet121,700,20,0.9,0.02247191011235955,0.945843412124511,1,0.0,218.08475,185.61975,0.0011021999875083567,0.0003088456937961947,1
DenseNet121,700,50,0.92,0.05742821473158552,0.9584094132520623,1,0.0,249.88179,215.97345,0.000781099998857826,0.0005675432119437425,1
DenseNet121,700,100,0.85,0.10611735330836454,0.9630026701647475,1,0.0,281.92535,241.89082,0.0007723100134171546,0.00036725440978668117,1
DenseNet121,800,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0008311300072818995,0.00039843234842017964,1
DenseNet121,800,5,0.8,0.004993757802746567,0.9047172294870751,1,0.0,162.09926,121.8422,0.0008746799896471203,0.0007525383206881288,1
DenseNet121,800,10,0.8,0.009987515605493134,0.9053568677805114,1,0.0,173.82913,145.93864,0.0005138500011526049,0.00022107103310284296,1
DenseNet121,800,20,0.75,0.018726591760299626,0.9086428022093966,1,0.0,187.67155,163.85925,0.0007329799933359027,0.00020178104777297576,1
DenseNet121,800,50,0.74,0.046192259675405745,0.9156647458965489,1,0.0,220.75912,189.8581,0.00101989998947829,0.0005777866260643883,1
DenseNet121,800,100,0.75,0.09363295880149813,0.9213580395426686,1,0.0,258.9087,214.99852,0.0006280099973082542,0.0002931257756200525,1
DenseNet121,900,1,1.0,0.003003003003003003,1.0,1,0.0,0.0,0.0,0.0009687299956567585,0.0004898879431350471,2
DenseNet121,900,5,0.2,0.003003003003003003,1.0,1,0.0,171.72124,128.20367,0.0007474999991245567,0.0005922601561546717,2
DenseNet121,900,10,0.2,0.006006006006006006,0.7903864795495061,1,0.0,198.07556,157.40858,0.0008719999925233424,0.0005895706831528884,2
DenseNet121,900,20,0.3,0.018018018018018018,0.680224346914132,1,0.0,214.51086,181.85678,0.0005278599914163351,0.0002084669485535643,2
DenseNet121,900,50,0.26,0.03903903903903904,0.6780505682378771,1,0.0,251.0272,213.85858,0.0005013299989514053,0.00016338904248651225,2
DenseNet121,900,100,0.3,0.09009009009009009,0.6978503728198748,1,0.0,290.42438,243.61665,0.0006971899885684252,0.0002856427190575017,2
DenseNet121,1000,1,1.0,0.003003003003003003,1.0,1,0.0,0.0,0.0,0.00035222999285906554,0.0001423285048795819,2
DenseNet121,1000,5,0.2,0.003003003003003003,1.0,1,0.0,216.1233,163.478,0.00046097999438643456,0.00034355295115930237,2
DenseNet121,1000,10,0.1,0.003003003003003003,1.0,1,0.0,234.8217,196.49591,0.0007432100013829767,0.0004880856679164333,2
DenseNet121,1000,20,0.2,0.012012012012012012,0.6866794452916963,1,0.0,252.06534,220.53781,0.00038622001884505155,0.00016013513786540965,2
DenseNet121,1000,50,0.26,0.03903903903903904,0.6571388351301128,1,0.0,274.23575,248.44536,0.000760349992197007,0.00023957743612592974,2
DenseNet121,1000,100,0.26,0.07807807807807808,0.6735984295536865,1,0.0,300.14032,268.75735,0.0007193399942480028,0.00023031571627219407,2
DenseNet121,1500,1,1.0,0.003134796238244514,1.0,1,0.0,0.0,0.0,0.0006577999913133681,0.0004313971383884706,4
DenseNet121,1500,5,0.4,0.006269592476489028,0.8503449055347546,1,0.0,218.46817,168.73868,0.0008477299939841032,0.00035533338612323505,4
DenseNet121,1500,10,0.6,0.018808777429467086,0.8014787115756214,1,0.0,226.65256,196.7709,0.0008059999905526638,0.0005895564153441437,4
DenseNet121,1500,20,0.5,0.03134796238244514,0.8001755239744569,1,0.0,241.33597,215.9333,0.00046902999747544527,0.00010693412550660855,4
DenseNet121,1500,50,0.44,0.06896551724137931,0.7877430345397238,1,0.0,263.83704,238.3798,0.0006229400052689016,0.000343303525378087,4
DenseNet121,1500,100,0.4,0.12539184952978055,0.7949312872311597,1,0.0,285.34445,256.32034,0.0006482099997811019,0.0003353102177934618,4
