model,query_image,k,precision,recall,ndcg,rank_of_true_label,min_distance,max_distance,mean_distance,search_time_mean,search_time_std,birads_category
ResNet50,30,50,0.76,0.04744069912609238,0.9625066413905236,1,0.0,153.04712,129.92001,0.002277670009061694,0.0012095334658191877,1
ResNet50,30,100,0.79,0.0986267166042447,0.9570965757968546,1,0.0,178.40314,148.07803,0.0017654699971899391,0.000797439794192761,1
ResNet50,50,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0014688699855469167,0.0006188039470981474,1
ResNet50,50,5,0.8,0.004993757802746567,0.9828920819566879,1,0.0,167.59782,124.88979,0.001641190005466342,0.0007173806989461228,1
ResNet50,50,10,0.8,0.009987515605493134,0.9641803458261541,1,0.0,185.80699,152.67795,0.0021833499893546106,0.0006487333446724296,1
ResNet50,50,20,0.8,0.019975031210986267,0.9469975485490323,1,0.0,196.2216,172.78201,0.0017193800304085016,0.0004203156682100197,1
ResNet50,50,50,0.78,0.04868913857677903,0.9443636878687474,1,0.0,216.23041,193.37457,0.00228343999478966,0.0008620591025363498,1
ResNet50,50,100,0.74,0.09238451935081149,0.9402286426137783,1,0.0,231.13602,208.72453,0.002348370011895895,0.0006512273784670711,1
ResNet50,100,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.003021699993405491,0.0013498284777589856,1
ResNet50,100,5,0.8,0.004993757802746567,0.9558295932317544,1,0.0,111.06421,86.737404,0.0024228699854575097,0.0006079105661817372,1
ResNet50,100,10,0.7,0.008739076154806492,0.9371072971649781,1,0.0,123.80139,104.66133,0.0024654400069266556,0.001139494279197523,1
ResNet50,100,20,0.7,0.017478152309612985,0.916182057894176,1,0.0,146.8497,122.13369,0.003485229972284287,0.0012196334296689399,1
ResNet50,100,50,0.82,0.05118601747815231,0.9223481766822051,1,0.0,164.58049,142.43307,0.0027480100281536577,0.0010898849703853202,1
ResNet50,100,100,0.8,0.09987515605493133,0.9322634263590297,1,0.0,184.13629,158.54926,0.0028583900071680545,0.0009635219064964293,1
ResNet50,150,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0016508899978362023,0.000924653698933933,1
ResNet50,150,5,1.0,0.006242197253433208,1.0,1,0.0,110.859535,84.6106,0.0015400599921122193,0.0005165091457442325,1
ResNet50,150,10,1.0,0.012484394506866416,1.0,1,0.0,119.34802,100.177444,0.005733689991757274,0.004227547204327746,1
ResNet50,150,20,0.85,0.02122347066167291,0.9950248470965648,1,0.0,126.60513,112.404785,0.0026580899953842162,0.0009933394501330619,1
ResNet50,150,50,0.84,0.052434456928838954,0.9771837506381237,1,0.0,141.78705,127.01504,0.0026608300162479282,0.0011077768131447707,1
ResNet50,150,100,0.87,0.10861423220973783,0.9721874888642322,1,0.0,162.46626,140.19185,0.0018885099911130966,0.0007643291507494591,1
ResNet50,200,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.001825200009625405,0.0009732547024807135,1
ResNet50,200,5,1.0,0.006242197253433208,1.0,1,0.0,141.86781,107.84161,0.0012096300139091908,0.0002823979495055719,1
ResNet50,200,10,0.9,0.011235955056179775,0.9842184869190973,1,0.0,151.68701,128.045,0.00157227999297902,0.000526495302639029,1
ResNet50,200,20,0.8,0.019975031210986267,0.9718435703524437,1,0.0,162.98206,143.51688,0.001656869996804744,0.0007721926217882668,1
ResNet50,200,50,0.76,0.04744069912609238,0.9499143371859604,1,0.0,185.6633,162.81786,0.0014634199789725244,0.0005387846466004129,1
ResNet50,200,100,0.76,0.09488139825218476,0.9460565073756775,1,0.0,211.03699,181.63889,0.001549460005480796,0.0006468885571717121,1
ResNet50,300,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0014491799985989929,0.0004261377251544291,1
ResNet50,300,5,0.6,0.003745318352059925,0.8529278650606567,1,0.0,172.45084,132.6077,0.0013369500054977834,0.0007252889841528412,1
ResNet50,300,10,0.7,0.008739076154806492,0.8401381804368545,1,0.0,189.43042,156.70631,0.001790680002886802,0.0011800610903860023,1
ResNet50,300,20,0.65,0.016229712858926344,0.8492234895535419,1,0.0,201.53384,177.124,0.0014560799929313362,0.0007247629555411769,1
ResNet50,300,50,0.74,0.046192259675405745,0.8743845765847114,1,0.0,221.2665,199.28375,0.0012007500045001507,0.0004422876577654945,1
ResNet50,300,100,0.73,0.09113607990012484,0.895030771936749,1,0.0,240.93188,215.96617,0.0012672900105826558,0.0005908249154139342,1
ResNet50,400,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0011523999855853617,0.0003363221076958091,1
ResNet50,400,5,1.0,0.006242197253433208,1.0,1,0.0,101.9409,71.91093,0.0013584299944341184,0.0008185785028828081,1
ResNet50,400,10,0.7,0.008739076154806492,0.9726647310833559,1,0.0,111.07312,89.94928,0.0015159499831497668,0.0005780993193727385,1
ResNet50,400,20,0.65,0.016229712858926344,0.9458491516002412,1,0.0,129.14426,105.80571,0.0014273200067691505,0.000618233871882797,1
ResNet50,400,50,0.66,0.04119850187265917,0.915976004998582,1,0.0,149.32318,126.30068,0.0016332900151610375,0.0004340988254404307,1
ResNet50,400,100,0.7,0.08739076154806492,0.914407678743417,1,0.0,172.1768,144.22665,0.0018641300266608596,0.000562252766810499,1
ResNet50,500,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0011943599907681345,0.0003942775878952328,1
ResNet50,500,5,0.8,0.004993757802746567,0.9558295932317544,1,0.0,102.474525,77.38039,0.002143019996583462,0.0008736683440223723,1
ResNet50,500,10,0.7,0.008739076154806492,0.9219403931203303,1,0.0,111.146286,92.489044,0.001911069988273084,0.0004305911229073844,1
ResNet50,500,20,0.85,0.02122347066167291,0.921982683585238,1,0.0,122.50953,105.18999,0.001741319987922907,0.0004617993133763513,1
ResNet50,500,50,0.88,0.05493133583021224,0.9414256707710645,1,0.0,144.88757,122.74871,0.0012211799970827998,0.0003626129368966629,1
ResNet50,500,100,0.85,0.10611735330836454,0.9517652094661007,1,0.0,164.73853,139.35449,0.0016423299908638,0.0007361193836216632,1
ResNet50,600,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0014910799916833639,0.00048389482726622114,1
ResNet50,600,5,0.8,0.004993757802746567,0.9828920819566879,1,0.0,163.2477,122.86827,0.0012975199962966145,0.00038441176431869143,1
ResNet50,600,10,0.9,0.011235955056179775,0.9667147927059906,1,0.0,180.19827,147.91292,0.0015894099953584373,0.0007475134806283496,1
ResNet50,600,20,0.85,0.02122347066167291,0.9671373803214378,1,0.0,189.79375,166.89218,0.0014085600036196412,0.00036158811577946076,1
ResNet50,600,50,0.88,0.05493133583021224,0.9658938745739222,1,0.0,212.10052,188.72162,0.0013389699975959956,0.0004775923418510361,1
ResNet50,600,100,0.84,0.10486891385767791,0.963792789291954,1,0.0,236.4934,207.39536,0.001267960004042834,0.0005950607820610154,1
ResNet50,700,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0025958899990655483,0.0013000226728463271,1
ResNet50,700,5,1.0,0.006242197253433208,1.0,1,0.0,149.98865,113.43208,0.0031649999786168338,0.0009683696889175822,1
ResNet50,700,10,1.0,0.012484394506866416,1.0,1,0.0,171.69238,139.59866,0.002054530009627342,0.0008562347014146868,1
ResNet50,700,20,0.9,0.02247191011235955,0.9952484004094614,1,0.0,194.09717,163.8788,0.0018184199812822043,0.0007678987156481056,1
ResNet50,700,50,0.9,0.056179775280898875,0.9839831115792232,1,0.0,222.63731,191.59807,0.0018608600017614662,0.0005261949745676376,1
ResNet50,700,100,0.89,0.1111111111111111,0.9804542428224765,1,0.0,262.8518,218.61975,0.001709029998164624,0.0005374002661981507,1
ResNet50,800,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0017628799891099335,0.000567641618504243,1
ResNet50,800,5,0.6,0.003745318352059925,0.9674679834891693,1,0.0,118.69914,93.47599,0.002823049994185567,0.0010356502240850504,1
ResNet50,800,10,0.8,0.009987515605493134,0.9249372331423045,1,0.0,128.33624,109.24453,0.0022241099853999914,0.0004962476321822802,1
ResNet50,800,20,0.8,0.019975031210986267,0.926857055286758,1,0.0,144.27019,124.68884,0.0023989200009964405,0.0009877836875373136,1
ResNet50,800,50,0.66,0.04119850187265917,0.9227045017604992,1,0.0,171.98755,145.57759,0.0017752700136043132,0.0006958029051865073,1
ResNet50,800,100,0.67,0.08364544319600499,0.9170805640967998,1,0.0,195.07898,165.06766,0.0015572599950246513,0.0004731437215002551,1
ResNet50,900,1,1.0,0.003003003003003003,1.0,1,0.0,0.0,0.0,0.0013170699938200414,0.0006352419994498685,2
