Model,Average Precision,Average Recall,Average NDCG,Average Search Time (s),Std Search Time (s)
DenseNet121,0.7777777777777778,0.01032422651949967,0.9513318284378781,0.000700133703907745,0.0003627506378401858
ResNet50,0.7407407407407407,0.010047030581707063,0.954169129971409,0.0018678348119094692,0.0008458538908705946
VGG16,0.723529411764706,0.010088180450785003,0.9098132150422632,0.002164871760589235,0.0005551031210729568
EfficientNet,0.7411764705882353,0.010752341950919793,0.9439499414166272,0.000521975294823813,0.00013083838704600469
