model,distance_metric,query_image,k,precision,recall,ndcg,search_time_mean,search_time_std,birads_category
DenseNet121,Cosine,20,5,0.8,0.004993757802746567,0.9558295932317544,0.00027374000055715444,1.7870093261105537e-05,1
DenseNet121,Cosine,20,10,0.9,0.011235955056179775,0.9504206262110481,0.00031793999951332805,4.017869972416456e-05,1
DenseNet121,Cosine,20,20,0.85,0.02122347066167291,0.9521572462747586,0.0007643199875019491,0.00037600113955043647,1
DenseNet121,Cosine,20,50,0.76,0.04744069912609238,0.9461539374362542,0.0003353200037963688,4.8584344124292194e-05,1
DenseNet121,Cosine,20,100,0.78,0.09737827715355805,0.9453739437160061,0.0007629100000485778,0.0003860957195759909,1
DenseNet121,Cosine,30,1,1.0,0.0012484394506866417,1.0,0.0002886699978262186,4.625386479826054e-05,1
DenseNet121,Cosine,30,5,1.0,0.006242197253433208,1.0,0.00028310000197961926,2.5767673429610466e-05,1
DenseNet121,Cosine,30,10,1.0,0.012484394506866416,1.0,0.0006115700001828372,0.00046939815439525466,1
DenseNet121,Cosine,30,20,0.9,0.02247191011235955,0.9950892878961242,0.0003870500018820167,0.00012949515703219693,1
DenseNet121,Cosine,30,50,0.84,0.052434456928838954,0.9818263271479947,0.0002363199950195849,2.242457025555078e-05,1
DenseNet121,Cosine,30,100,0.8,0.09987515605493133,0.970097162338504,0.0007295899908058345,0.00031288410635801493,1
DenseNet121,Cosine,50,1,1.0,0.0012484394506866417,1.0,0.0004353799857199192,8.562129759713029e-05,1
DenseNet121,Cosine,50,5,0.8,0.004993757802746567,0.9828920819566879,0.0004349100054241717,0.00022534576731893634,1
DenseNet121,Cosine,50,10,0.7,0.008739076154806492,0.952194863477961,0.0005973599967546761,0.0001857788754387179,1
DenseNet121,Cosine,50,20,0.75,0.018726591760299626,0.9333132637493378,0.00034308000467717645,0.000123283496529213,1
DenseNet121,Cosine,50,50,0.76,0.04744069912609238,0.9284340428266732,0.0007890800014138221,0.0005174144957800286,1
DenseNet121,Cosine,50,100,0.74,0.09238451935081149,0.9290453134015089,0.00031979000195860865,4.1561891802521476e-05,1
